analysis,title,description,source
"The video features a person with braided hair, wearing a black top and yellow earrings, speaking directly to the camera. The background is a room with a white door, a ceiling light, and a plant. The person is gesturing with their hands as they speak. The video includes text overlays that read ""Word for word salary negotiation script! Watch now.""",isimemena on TikTok,Word for word salary script! Watch now #salary #negotiation #salarynegotiation #joboffer #career #careercoach #careeradvice #jobhunt,https://www.tiktok.com/@user/video/6948869747832311045
"The video features a room with a modern aesthetic, including a large bed with white bedding, a beige sofa, and a wooden coffee table. The room has a neutral color palette with white walls, a light-colored floor, and a large window that allows natural light to fill the space. The person in the video is seen interacting with a white, floor-to-ceiling partition that has a grid-like structure and is partially covered with a beige curtain. The partition is moved back and forth, revealing and concealing the bed area. The room also includes a hanging light fixture with a black shade and a small plant on the windowsill.",Yardas decoración on TikTok,"🙌🏼 El divisor que planteamos en el monoambiente como protagonista!  ✨Realizado en hierro pintado de blanco. Y el detalle de la cortina con riel, hecha a medida en tusor color crudo ✨  👉🏼 Este divisor lo pensamos no solo para que cumpla la función de separar dos espacios de un mismo ambiente, sino también, con el recurso de la cortina, generar privacidad en el sector de dormir cuando se necesite 🤍  #monoambiente #interiorismo #interiordesign #yardasinteriorismo #decoracion #divisor #yardasdecoracion #mardelplata ",https://www.tiktok.com/@user/video/7168545607437602054
"The video features a person in a black top, wearing glasses and a necklace, speaking directly to the camera. The background is a room with a white wall and a black object on the right side. The person is gesturing with their hands as they speak. The video includes text overlays that read ""How I Negotiated My Salary"" and ""I negotiated the salary for the job that I'm currently living in New York City."" The text is white with a black outline for readability.",Natasha on TikTok,Replying to @kittykat.dance How I negotiated my salary #salarynegotiation #careertiktok #careeradvice #careertok #salarytips  #PepsiApplePieChallenge ,https://www.tiktok.com/@user/video/7190880646292573483
"The video features a person assembling an IKEA PAX wardrobe system. The individual is seen installing shelves, drawers, and hanging rods. The wardrobe is white, and the person is wearing a black outfit. The video includes text overlays that read ""IKEA PAX SYSTEM"" and ""Part One.""",B S Y ✩ on TikTok,Finally got my pax installed 🧸🤍 #closet #ikea #aesthetic #roomtour #pax  #ikeapaxwardrobe #ikeapaxsystem ,https://www.tiktok.com/@user/video/7220431692467604779
"The video begins with a close-up of a box labeled ""Artistic TV Stand"" from ""3Mounts"" with a picture of the stand on the box. The box is opened to reveal the stand, which is made of wood and metal. The person assembles the stand, attaching the legs and the top part. The stand is then placed on the floor, and a TV is mounted on it. The TV is turned on, displaying a menu with various options.",B | Creator Coach on TikTok,My first #amazonfinds and it is this beautiful artistic easel because having your tv on the floor is not a flex 😂😂😂 You can find the link in my bio😘 #bwilsonbeauty #lifestyleinfluencer #phillyinfluencer #lifestylevlog #softlife #blackgirlluxury ,https://www.tiktok.com/@user/video/7220924756055592238
"The video features a person in a room with a neutral color palette, primarily consisting of whites and beiges. The individual is seen placing a framed picture on a shelf above a white cabinet. The shelf is adorned with various decorative items, including books, a small statue, and a framed picture. The person is wearing a white sleeveless top and blue jeans. The framed picture being placed on the shelf is a landscape scene. The room has a cozy and organized aesthetic, with a fireplace and a chandelier visible in the background.",Mallory on TikTok,"my vision became reality 🥲 i wanted both shelving AND our little tv in the bedroom, and found a way to have both. when it’s not in use, the tv looks like art leaning on the top shelf, but we can pull it out, down and even tilt it for the perfect view when we want to get cozy and watch tv from bed. let me know if you’re interested in how we made this! shout out to my gal @Brigette Muller for inspiring me to try this tv mount 🫶 #homedecor #diyideas #interiordesign #frametv #frametvhack ",https://www.tiktok.com/@user/video/7241308107446488363
"The video begins with a view of a hallway with white walls and wooden flooring. A text overlay states ""290 sqft Studio Apartment Makeover."" The scene transitions to a person in a black shirt and grey pants, moving a wooden dresser with multiple drawers. The dresser has a dark brown finish with lighter brown accents. The person then places a round wooden table with a light brown finish on the floor. The video cuts to a shot of a wooden dining table with a light brown finish and a white tablecloth. The scene shifts to a view of a room with a large window, a white table with a green object on it, and a brown leather couch. The video concludes with a shot of a person in a black shirt and grey pants, standing next to a tall, black floor lamp with a white shade.",Lone Fox on TikTok,The smallest apartment i’ve made over BUT I kinda wanna move in… 🤩 #studioapartment #studio #apartmentmakeover #roommakeover ,https://www.tiktok.com/@user/video/7255399405438668075
"The video begins with a view of a kitchen with white cabinets, a stainless steel refrigerator, and a hanging plant. The scene transitions to a person holding a large cardboard box, which is then opened to reveal a blue circular object. The object is carefully removed from the box and placed on the floor. The video then shows a person using a power drill to secure the object to the wall. The final frames reveal the completed installation, with the blue circular object now mounted on the wall, reflecting the room's interior.",Ivangellys on TikTok,"using mirrors is the trick to making small spaces look lighter, brighter and bigger👏🏼 #loft #loft #homedecorideas #studio #LifeOnTikTok #upcurated #diyproject #floormirror #studioapartment #interiordesign ",https://www.tiktok.com/@user/video/7272749638199954734
"The video demonstrates the process of removing wallpaper from a wall. The wallpaper is green and white, and the wall is painted white. The person uses a tool to remove the wallpaper, revealing the wall underneath. The person then uses a spray bottle to apply a substance to the wall, which is likely a wallpaper removal solution. The person then uses a scraper to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to remove the remaining wallpaper, revealing the wall underneath. The person then uses a tool to",jasmeannnn on TikTok,My steam mop hack on how to properly remove peel and stick wallpaper!! Now lets get that security deposit backkk lol #homedecor #roommakeover #peelandstickwallpaper #renterfriendly ,https://www.tiktok.com/@user/video/7280586291387829546
"The video begins with a person in a beige outfit, with their hair tied up, opening a cardboard box. The room has a white wall and a white rug on the floor. The person is seen assembling a white sofa with black cushions. A small dog with a grey and white coat is present, observing the assembly process. The person then places a white ottoman on the floor, and the dog lies down next to it. The video ends with the person sitting on the sofa, and the dog is seen lying on the floor.",CLARISSA | NYC on TikTok,zero regrets so far 🧸🤎 #amazoncouchfinds #amazoncouchassembly #smallapartment #smallapartmentcouch ,https://www.tiktok.com/@user/video/7300963768840883498
"The video features a person standing in front of a wall with various wallpaper samples. The wallpapers display different patterns and colors, including black and white, blue, and brown. The person is seen handling the wallpaper samples, pointing at them, and gesturing towards the camera. The wallpapers have different textures and designs, ranging from smooth to textured. The person is wearing a white shirt and blue jeans.","Imani | DIY, Design & Life on TikTok","Replying to @CK - Gemini leaning into the textures even more, giving an abstracted, impressionistic print… this is Imani’s Fave!  Shop my #peelandstickwallpaper collection with @Otto Studio - 🔗 in bio!  #renterfriendly #homedecorideas #maximalismalltheway #moodyinteriors ",https://www.tiktok.com/@user/video/7301508923985497387
N/A,N/A,N/A,N/A
"The video features a person in a maroon hoodie, speaking directly to the camera. The background includes a wall with framed pictures. Throughout the video, text overlays appear at the top of the frame, providing a step-by-step guide on how to negotiate a salary. The text is in white with a black outline for readability. The steps include bringing up the topic, not accepting the first offer, and using an equity plan. The person's expressions and hand gestures suggest they are emphasizing the importance of these steps.",Dan From HR on TikTok,#Jobhunt #jobtips #career #careeradvice #resume #linkedin #linkedintips #resumetips #gethired #getpaid #salarynegotiation  Salary expectations salary transparency salary negotiation salarymen salary salary job interview salary expectatiom questions salary negotiation tips salary pay salary job interview salary expectations question salary negotiation offer compensation negotiation compensation expectations compensation review compensation package ,https://www.tiktok.com/@user/video/7327309292078402859
